object_name,root_output,target_prompt,source_prompt,target_edit,baseline_render_same_prompt,source_render_cross_prompt,baseline_output,baseline_effect,cross_prompt_effect,baseline_L_edit,baseline_eta,cross_prompt_L_edit,cross_prompt_eta,delta_L_edit,delta_eta
3D_Dollhouse_Sink,3D_Dollhouse_Sink/output_1,prompt_3,prompt_1,3D_Dollhouse_Sink/prompt_3/2d_edit.png,3D_Dollhouse_Sink/prompt_3/2d_render.png,3D_Dollhouse_Sink/prompt_1/2d_render.png,3D_Dollhouse_Sink/prompt_3/output_3,3D_Dollhouse_Sink/prompt_3/output_3/anchorflow_tgs_7.5_nmax_41.png,3D_Dollhouse_Sink/output_1/anchorflow_tgs_7.5_nmax_41.png,215.4315976329,0.4154642163,218.2114456740,0.4219117080,2.7798480411,0.0064474917
BATHROOM_CLASSIC,BATHROOM_CLASSIC/output_1,prompt_2,prompt_3,BATHROOM_CLASSIC/prompt_2/2d_edit.png,BATHROOM_CLASSIC/prompt_2/2d_render.png,BATHROOM_CLASSIC/prompt_3/2d_render.png,BATHROOM_CLASSIC/prompt_2/output_2,BATHROOM_CLASSIC/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,BATHROOM_CLASSIC/output_1/anchorflow_tgs_7.5_nmax_41.png,326.2555884038,0.4803183410,303.3446526650,0.4644016222,-22.9109357388,-0.0159167188
Dino_4,Dino_4/output_1,prompt_2,prompt_3,Dino_4/prompt_2/2d_edit.png,Dino_4/prompt_2/2d_render.png,Dino_4/prompt_3/2d_render.png,Dino_4/prompt_2/output_2,Dino_4/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,Dino_4/output_1/anchorflow_tgs_7.5_nmax_41.png,448.5841178951,0.4266165937,446.5289026388,0.4174768200,-2.0552152563,-0.0091397737
Dog,Dog/output_1,prompt_2,prompt_3,Dog/prompt_2/2d_edit.png,Dog/prompt_2/2d_render.png,Dog/prompt_3/2d_render.png,Dog/prompt_2/output_2,Dog/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,Dog/output_1/anchorflow_tgs_7.5_nmax_41.png,646.7262184037,0.4777003095,659.3064766756,0.4706877531,12.5802582719,-0.0070125564
LEGO_Creationary_Game,LEGO_Creationary_Game/output_1,prompt_2,prompt_3,LEGO_Creationary_Game/prompt_2/2d_edit.png,LEGO_Creationary_Game/prompt_2/2d_render.png,LEGO_Creationary_Game/prompt_3/2d_render.png,LEGO_Creationary_Game/prompt_2/output_2,LEGO_Creationary_Game/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,LEGO_Creationary_Game/output_1/anchorflow_tgs_7.5_nmax_41.png,221.7425629817,0.4020809597,257.3015611351,0.4322645496,35.5589981534,0.0301835899
SORTING_BUS,SORTING_BUS/output_1,prompt_2,prompt_3,SORTING_BUS/prompt_2/2d_edit.png,SORTING_BUS/prompt_2/2d_render.png,SORTING_BUS/prompt_3/2d_render.png,SORTING_BUS/prompt_2/output_2,SORTING_BUS/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,SORTING_BUS/output_1/anchorflow_tgs_7.5_nmax_41.png,486.1042919930,0.5244485504,491.4448388863,0.5285097693,5.3405468933,0.0040612189
STACKING_BEAR,STACKING_BEAR/output_1,prompt_1,prompt_2,STACKING_BEAR/prompt_1/2d_edit.png,STACKING_BEAR/prompt_1/2d_render.png,STACKING_BEAR/prompt_2/2d_render.png,STACKING_BEAR/prompt_1/output_1,STACKING_BEAR/prompt_1/output_1/anchorflow_tgs_7.5_nmax_41.png,STACKING_BEAR/output_1/anchorflow_tgs_7.5_nmax_41.png,311.9452532766,0.4180527674,324.6878205678,0.4428588137,12.7425672912,0.0248060463
Schleich_Allosaurus,Schleich_Allosaurus/output_1,prompt_2,prompt_3,Schleich_Allosaurus/prompt_2/2d_edit.png,Schleich_Allosaurus/prompt_2/2d_render.png,Schleich_Allosaurus/prompt_3/2d_render.png,Schleich_Allosaurus/prompt_2/output_2,Schleich_Allosaurus/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,Schleich_Allosaurus/output_1/anchorflow_tgs_7.5_nmax_41.png,335.0134661737,0.4178170398,345.8384593130,0.4051092857,10.8249931393,-0.0127077541
Squirtin_Barnyard_Friends_4pk,Squirtin_Barnyard_Friends_4pk/output_1,prompt_2,prompt_3,Squirtin_Barnyard_Friends_4pk/prompt_2/2d_edit.png,Squirtin_Barnyard_Friends_4pk/prompt_2/2d_render.png,Squirtin_Barnyard_Friends_4pk/prompt_3/2d_render.png,Squirtin_Barnyard_Friends_4pk/prompt_2/output_2,Squirtin_Barnyard_Friends_4pk/prompt_2/output_2/anchorflow_tgs_7.5_nmax_41.png,Squirtin_Barnyard_Friends_4pk/output_1/anchorflow_tgs_7.5_nmax_41.png,332.5507102617,0.4531478094,342.3930195386,0.4487321213,9.8423092769,-0.0044156881
Weisshai_Great_White_Shark,Weisshai_Great_White_Shark/output_1,prompt_3,prompt_2,Weisshai_Great_White_Shark/prompt_3/2d_edit.png,Weisshai_Great_White_Shark/prompt_3/2d_render.png,Weisshai_Great_White_Shark/prompt_2/2d_render.png,Weisshai_Great_White_Shark/prompt_3/output_3,Weisshai_Great_White_Shark/prompt_3/output_3/anchorflow_tgs_7.5_nmax_41.png,Weisshai_Great_White_Shark/output_1/anchorflow_tgs_7.5_nmax_41.png,341.6016655885,0.4544306090,387.8853132000,0.4866320259,46.2836476115,0.0322014169
